smile,classe
O=C(N[C@H](C(=O)N[C@@H](CC(C)C)C(O)=O)CC(=O)N)[C@H]1NCCC1,CHEBI_16670
NCCc1c[nH]c2ccccc12,CHEBI_76924
O=C(N[C@@H](CC1=CC=C(O)C=C1)C(O)=O)[C@@H](NC(=O)[C@@H](N)CO)CCC(=O)N,CHEBI_25676
N[C@@H](CCCCNC(N)=O)C(O)=O,CHEBI_75771
NC(=O)N[C@@H](CC([O-])=O)C([O-])=O,CHEBI_77746
Oc1ccc(C[C@@H]2NC(=O)[C@H](Cc3ccc(O)cc3)NC2=O)cc1,CHEBI_25212
Cc1ncc(C[n+]2csc(CCOP(O)(=O)OP(O)(=O)OP(O)(O)=O)c2C)c(N)n1,CHEBI_75771
O=C(N1[C@@H](CCC1)C(O)=O)[C@H]2N(CCC2)C(=O)[C@@H](N)CC=3NC=NC3,CHEBI_25676
[H][C@]1(O)[C@H](O)C[C@@](O)(C[C@H]1OC(=O)\C=C\c1ccc(O)c(O)c1)C([O-])=O,CHEBI_76924
OC(=O)\C=C\c1ccc(O)cc1,CHEBI_75771
OC(=O)CCCCCCC\C=C\C=C\CCCCCC,CHEBI_77746
C(\CCCCCCCCOC(=O)C)=C\CCCCCCCC,CHEBI_75771
C[C@](O)(CCCCCCCC\C=C\C=C\c1ccccc1)C[C@]1(C)OC(=O)C[C@@H]1O,CHEBI_25212
C[Se]C[C@H](N)C(O)=O,CHEBI_35610
CCC[C@@H]1O[C@@H]1C,CHEBI_77746
[H][C@]12CC[C@]3(C)[C@@H](O)CC[C@@]3([H])[C@]1([H])CCc1cc(O)c(O)cc21,CHEBI_75771
O=C(N[C@@H](CO)C(O)=O)[C@@H](NC(=O)[C@@H](N)CCC(O)=O)CCC(=O)N,CHEBI_25676
S(CC[C@H](NC(=O)[C@@H](N)CCSC)C(=O)N[C@@H](CO)C(O)=O)C,CHEBI_16670
COc1cc2C[C@H](C)[C@H](C)[C@@H](c3cc(O)c(O)c(OC)c3)c2cc1O,CHEBI_76924
Cc1c(O)c(C)c2O[C@H]([C@H](O)C(=O)c2c1O)c1ccccc1,CHEBI_76924
[H][C@@]12[C@H]3CCCN1CCC[C@@]1(O3)O\C([C@@H](C)[C@]21[H])=C1OC(=O)C(C)=C/1OC,CHEBI_25212
COc1c(oc2cc(O)cc(O)c2c1=O)-c1ccc(O)c2O[C@@H](Cc12)C(C)(O)CCC=C(C)C,CHEBI_76924
CC(C)=CCc1cc2c3oc4cc(O)ccc4c3c(=O)oc2cc1O,CHEBI_76924
CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCS,CHEBI_77746
CC(CN)C(O)=O,CHEBI_25212
SC[C@H](N)C(=O)N[C@@H](CC=1NC=NC1)C(=O)N[C@@H](C(C)C)C(O)=O,CHEBI_16670
[C@@]123[C@]4(N(CCC[C@]4(CC(=C1NC5=C2C=CC=C5)C(OC)=O)C(C)OC(=O)C)CC3)[H],CHEBI_76924
COc1cc(CCCc2cc(OC)c(O)cc2OC)ccc1O,CHEBI_35610
CC(=C)CCOP(O)(=O)OP(O)(O)=O,CHEBI_75771
C[N+](C)(C)C[C@@H](CC([O-])=O)OC([*])=O,CHEBI_25212
